address_id,raw_address
400206797,Đồng Tâm - Vĩnh Yên - Vĩnh Phúc
400164176,"Ấp Phú Mỹ, Xã Phú Vang, Huyện Bình Đại, Tỉnh Bến Tre"
400106488,Khối Quang Trung - Vinh Tân - Nghệ An
400172262,"02 Nguyễn Thiện ThuậtPhường Thắng Nhất, TP. Vũng Tàu, Bà Rịa - Vũng Tàu"
400237368,"Quốc Lộ 1A , Xã Quảng Ninh, Huyện Quảng Xương, Thanh Hóa"
400025829,"Tràng Minh, Kiến An, Hải Phòng"
400020499,TRƯỜNG TIỂU HỌC PHÚ MỸ
400024307,"220/3 ÂU CƠ, P9, Q TÂN BÌNH, TP. HCM"
400050042,"HẬU PHÚ 1, HẬU MỸ BẮC A, CÁI BÈ, TIỀN GIANG"
400134352,Số 37A - Đường Quang Trung - Phường Quang Trung - TP Vinh - Nghệ An.
400231759,"TT Tân Phú, Tân Phú, Đồng Nai"
400251394,"34 Tổ 31, Cụm 5, Ngọc Hà, Ba Đình, Hà Nội"
400222211,Cẩm Phả - Quảng Ninh
400248641,"Thôn Chí CườngXã Nam Cường, Tiền Hải, Thái Bình"
400158841,"Số 1/9 - Đường Nguyễn Thị Minh Khai, TP. Vinh, Nghệ An"
400133372,"56 Đỗ Năng Tế, P.An Lạc A, Q.Bình Tân, TP.HCM"
400113004,Tầng 1 -Tòa nhà Trung Đô- Đại Lộ Lê Nin - TP Vinh - Nghệ An
400150831,"40 Trần Khánh Dư, TP. Huế, Thừa Thiên - Huế"
400212825,"Số 4, Vũ Hựu, Thanh Bình, TP Hải Dương, Hải Dương"
400223769,"46/03 KP2, TT Hóc Môn, Huyện Hóc Môn, Tp. Hồ Chí Minh "
400266832,"Thôn Trung Đại Lâm, Xã Lâm Trung Thủy, Huyện Đức Thọ, Tỉnh Hà Tĩnh"
400220400,"Danh ThượngXã Danh Thắng, Hiệp Hòa, Bắc Giang"
100001807,"107 đường 53, P. Tân Tạo, Q. Bình Tân, TP HCM"
400060723,"301/41/3 KP4, Tân Kiểng, Q.7, TP.Hồ Chí MinhCông ty TNHH Showa VN"
400201020,".Thị trấn Cầu Giát, Quỳnh Lưu, Nghệ An"
400228818,"Hùng TrìXã Lạc Đạo, Văn Lâm, Hưng Yên"
400072656,"57/13 Trần Quang Cơ, Phường Phú Thạnh, Quận Tân Phú, TPHCM"
400180020,"Căn Hộ Số 10.08, Khối B, Chung Cư Linh Trung, Đường 16, Tổ 5, KP1, , Phường Linh Trung, Q. Thủ Đức, TP. Hồ Chí Minh"
400140413,"kP.Tân Thạnh - Phường Xuân ĐàiThị trấn Sông Cầu, Sông Cầu, Phú Yên"
400101918," SỐ 24, NGUYỄN THÁI HỌC, PHƯỜNG ĐIỆN BIÊN, BA ĐÌNH, HÀ NỘI"
400076298,"XÃ AN PHƯỚC, H. LONG THÀNH, ĐN"
400137547,"PHÒNG 1, 577/8, TÂY KHÁNH 4, MỸ HÒA, LONG XUYÊN, AN GIANG"
1000002519,"Số 99, phố Bà Triệu, phường Nguyễn Du, Quận Hai Bà Trưng, Thành phố Hà Nội"
400089192,Đống Đa - Hà Nội
400005832,"24B Hoàng Thị Loan, Thành phố Huế"
400167350,"Mễ NộiXã Liêm Chính, TP. Phủ Lý, Hà Nam"
400254124,"Thôn 6Xã Thành An, TX. An Khê, Gia Lai"
400008101,"Xóm 11, Đức Thủy, Đức Thọ, Hà Tĩnh"
400154738,"Ấp Giồng CátXã Long Hoà, TX. Gò Công, Tiền Giang"
400274042,"Bản Tân Sơn, Xã Môn Sơn, Huyện Con Cuông, Tỉnh Nghệ An"
400209874,"Ấp Tây Nam, Tân Hòa, Tân Thạnh, Long An"
300004978,"25/6, P.7, TX.Bạc Liêu, Bạc Liêu"
400064430,"65 Đinh Bộ Lĩnh, P.26, Q.Bình Thạnh, Tp.HCM"
300002494,"Ấp Mỹ Hoà, X.Mỹ Trung, H.Cái Bè, Tiền Giang"
400230636,"Số 25, Lô LK 2, Tổ 6, Khu 10, Phường Bãi Cháy, Thành Phố Hạ Long, Tỉnh Quảng Ninh"
400212224,"Số Nhà 464/17 Đường Vĩnh Viễn, Tổ 1, Khu Phố 1, Phường 8, Quận 10, TP.HCM"
